----------------------------------------------------------------------------------------------------
Execution: 0
Average Fitness: 0.0030654935993124155  ---  Best Overall Fitness: 0.015348850975978916
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.004532004884181224 | Best Fitness: 0.007909462392915439 | Population Length: 20| Best DNA: 'αθαναιος αλεξανδρος ουδις αθαναιος'
Generation 2 | Average Generation Fitness: 0.004001448674289948 | Best Fitness: 0.010457873390189963 | Population Length: 20| Best DNA: 'κα αλεξανδρος ουδις κα'
Generation 3 | Average Generation Fitness: 0.003395539162271738 | Best Fitness: 0.004439142786699832 | Population Length: 20| Best DNA: 'μιξελληνας αλεξανδρος ουδις μιξελληνας'
Generation 4 | Average Generation Fitness: 0.0032527556780321343 | Best Fitness: 0.0039053420424708 | Population Length: 20| Best DNA: 'ξ αλεξανδρος ουδις ξ'
Generation 5 | Average Generation Fitness: 0.00347166845748467 | Best Fitness: 0.008500173279620512 | Population Length: 20| Best DNA: 'ιου αλεξανδρος ουδις ιου'
Generation 6 | Average Generation Fitness: 0.0035710789965952504 | Best Fitness: 0.008652061820821821 | Population Length: 20| Best DNA: 'της αλεξανδρος ουδις της'
Generation 7 | Average Generation Fitness: 0.0032183960084612114 | Best Fitness: 0.006251355268312635 | Population Length: 20| Best DNA: 'παραχρημα αλεξανδρος ουδις παραχρημα'
Generation 8 | Average Generation Fitness: 0.003224720361812356 | Best Fitness: 0.00714758266857224 | Population Length: 20| Best DNA: 'θυγατηρ αλεξανδρος ουδις θυγατηρ'
Generation 9 | Average Generation Fitness: 0.0036621089115968656 | Best Fitness: 0.012713468498665014 | Population Length: 20| Best DNA: 'το αλεξανδρος ουδις το'
Generation 10 | Average Generation Fitness: 0.0033082701394110473 | Best Fitness: 0.009091536957608955 | Population Length: 20| Best DNA: 'ων αλεξανδρος ουδις ων'
Generation 11 | Average Generation Fitness: 0.002701776708126901 | Best Fitness: 0.006028821368460296 | Population Length: 20| Best DNA: 'στηλιδαν αλεξανδρος ουδις στηλιδαν'
Generation 12 | Average Generation Fitness: 0.0028206248938659863 | Best Fitness: 0.007027112135196353 | Population Length: 20| Best DNA: 'πρωτομ αλεξανδρος ουδις πρωτομ'
Generation 13 | Average Generation Fitness: 0.0032273747407678445 | Best Fitness: 0.011017144974123236 | Population Length: 20| Best DNA: 'απολλωνι αλεξανδρος ουδις απολλωνι'
Generation 14 | Average Generation Fitness: 0.0028114879834238147 | Best Fitness: 0.006138066688353701 | Population Length: 20| Best DNA: 'αυτος αλεξανδρος ουδις αυτος'
Generation 15 | Average Generation Fitness: 0.0026182571200351495 | Best Fitness: 0.004358429606625277 | Population Length: 20| Best DNA: 'ευσεβης αλεξανδρος ουδις ευσεβης'
Generation 16 | Average Generation Fitness: 0.0030736077412701493 | Best Fitness: 0.006977778514083408 | Population Length: 20| Best DNA: 'ανοπτηνιος αλεξανδρος ουδις ανοπτηνιος'
Generation 17 | Average Generation Fitness: 0.0028258221407643394 | Best Fitness: 0.004675082375707506 | Population Length: 20| Best DNA: 'τειμης αλεξανδρος ουδις τειμης'
Generation 18 | Average Generation Fitness: 0.0029874188510665657 | Best Fitness: 0.006785366214818605 | Population Length: 20| Best DNA: 'ετων αλεξανδρος ουδις ετων'
Generation 19 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'δημοσια αλεξανδρος ουδις δημοσια'
Generation 20 | Average Generation Fitness: 0.0027615493966190886 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'τηγ αλεξανδρος ουδις τηγ'
Generation 21 | Average Generation Fitness: 0.002600193762452147 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'πολιτων αλεξανδρος ουδις πολιτων'
Generation 22 | Average Generation Fitness: 0.0026466699388314747 | Best Fitness: 0.004191439302281738 | Population Length: 20| Best DNA: 'πλεισταρχου αλεξανδρος ουδις πλεισταρχου'
Generation 23 | Average Generation Fitness: 0.002900444498251467 | Best Fitness: 0.010002177170951613 | Population Length: 20| Best DNA: 'τη αλεξανδρος ουδις τη'
Generation 24 | Average Generation Fitness: 0.0035221383688673552 | Best Fitness: 0.012010385552519858 | Population Length: 20| Best DNA: 'τη αλεξανδρος ουδις τη'
Generation 25 | Average Generation Fitness: 0.0029579325763129283 | Best Fitness: 0.008877493704048665 | Population Length: 20| Best DNA: 'σχοινιαιαν αλεξανδρος ουδις σχοινιαιαν'
Generation 26 | Average Generation Fitness: 0.0031209542690620886 | Best Fitness: 0.006729041715517441 | Population Length: 20| Best DNA: 'γοργιου αλεξανδρος ουδις γοργιου'
Generation 27 | Average Generation Fitness: 0.0032378155596214943 | Best Fitness: 0.007642623815774378 | Population Length: 20| Best DNA: 'πολυχαρμον αλεξανδρος ουδις πολυχαρμον'
Generation 28 | Average Generation Fitness: 0.0026442778314320963 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'τουτων αλεξανδρος ουδις τουτων'
Generation 29 | Average Generation Fitness: 0.0026991093653880834 | Best Fitness: 0.005240227833413906 | Population Length: 20| Best DNA: 'πουρθαιου αλεξανδρος ουδις πουρθαιου'
Generation 30 | Average Generation Fitness: 0.00299219812147579 | Best Fitness: 0.007230760706851136 | Population Length: 20| Best DNA: 'περιεποιησε αλεξανδρος ουδις περιεποιησε'
Generation 31 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'συνετελεσατο αλεξανδρος ουδις συνετελεσατο'
Generation 32 | Average Generation Fitness: 0.002823183253641316 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'υντεκ αλεξανδρος ουδις υντεκ'
Generation 33 | Average Generation Fitness: 0.0029301918806767533 | Best Fitness: 0.009569008740529406 | Population Length: 20| Best DNA: 'φαλδαρανος αλεξανδρος ουδις φαλδαρανος'
Generation 34 | Average Generation Fitness: 0.0032288426694042846 | Best Fitness: 0.008855133549419657 | Population Length: 20| Best DNA: 'βασιλεως αλεξανδρος ουδις βασιλεως'
Generation 35 | Average Generation Fitness: 0.003133229026371446 | Best Fitness: 0.007244436199902085 | Population Length: 20| Best DNA: 'συριηι αλεξανδρος ουδις συριηι'
Generation 36 | Average Generation Fitness: 0.002897340671097599 | Best Fitness: 0.005865761521014681 | Population Length: 20| Best DNA: 'τοις αλεξανδρος ουδις τοις'
Generation 37 | Average Generation Fitness: 0.0026195139467853168 | Best Fitness: 0.0043835661416286205 | Population Length: 20| Best DNA: 'ανεσκευασεν αλεξανδρος ουδις ανεσκευασεν'
Generation 38 | Average Generation Fitness: 0.002756428752828117 | Best Fitness: 0.005745123075992702 | Population Length: 20| Best DNA: 'ηνεγκε αλεξανδρος ουδις ηνεγκε'
Generation 39 | Average Generation Fitness: 0.002595506053749739 | Best Fitness: 0.0039034082809170623 | Population Length: 20| Best DNA: 'νακου αλεξανδρος ουδις νακου'
Generation 40 | Average Generation Fitness: 0.0027889671339438936 | Best Fitness: 0.006395890698308235 | Population Length: 20| Best DNA: 'μενεστρατον αλεξανδρος ουδις μενεστρατον'
Generation 41 | Average Generation Fitness: 0.0031556571035881663 | Best Fitness: 0.0064859160576411674 | Population Length: 20| Best DNA: 'αγαθηι αλεξανδρος ουδις αγαθηι'
Generation 42 | Average Generation Fitness: 0.0030130147905141546 | Best Fitness: 0.008572747353734091 | Population Length: 20| Best DNA: 'της αλεξανδρος ουδις της'
Generation 43 | Average Generation Fitness: 0.0027150212623004446 | Best Fitness: 0.004439142786699832 | Population Length: 20| Best DNA: 'ιππονικο αλεξανδρος ουδις ιππονικο'
Generation 44 | Average Generation Fitness: 0.0026369560964656495 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'εχοντας αλεξανδρος ουδις εχοντας'
Generation 45 | Average Generation Fitness: 0.002752713331944291 | Best Fitness: 0.0048784468846866744 | Population Length: 20| Best DNA: 'προς αλεξανδρος ουδις προς'
