----------------------------------------------------------------------------------------------------
Execution: 0
Generation 32 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 33 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 34 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 35 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 36 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 37 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 38 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 39 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 40 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 41 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 42 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 43 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 44 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 45 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 46 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 48 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 49 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 50 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 51 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
------------------------------------------------
Total Generations: 51
Total Population: 200   ---   Mutation Rate: 0.0  ---  Crossover Probability: 0.6
Average Fitness: 0.0025266690944251297  ---  Best Overall Fitness: 0.010552380001625764
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.004379706190237488 | Best Fitness: 0.007964027889291084 | Population Length: 200| Best DNA: 'ρησκουποριδος αλεξανδρος ουδις ρησκουποριδος'
Generation 2 | Average Generation Fitness: 0.0038654042086989538 | Best Fitness: 0.006491149665151893 | Population Length: 200| Best DNA: 'ρησκουποριδος αλεξανδρος ουδις ρησκουποριδος'
Generation 3 | Average Generation Fitness: 0.003556262472536766 | Best Fitness: 0.0058650833714382015 | Population Length: 200| Best DNA: 'πανταλεων αλεξανδρος ουδις πανταλεων'
Generation 4 | Average Generation Fitness: 0.0033447497215678113 | Best Fitness: 0.005025058647850499 | Population Length: 200| Best DNA: 'πανηιον αλεξανδρος ουδις πανηιον'
Generation 5 | Average Generation Fitness: 0.00324975808240991 | Best Fitness: 0.003481567823688605 | Population Length: 200| Best DNA: 'ουδενα αλεξανδρος ουδις ουδενα'
Generation 6 | Average Generation Fitness: 0.003221477207280328 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
Generation 7 | Average Generation Fitness: 0.0032288296740830284 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
Generation 8 | Average Generation Fitness: 0.003236182140885728 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'εννεα αλεξανδρος ουδις εννεα'
Generation 9 | Average Generation Fitness: 0.003236182140885728 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 10 | Average Generation Fitness: 0.003225153440681678 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 11 | Average Generation Fitness: 0.003225153440681678 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πραξαμενος αλεξανδρος ουδις πραξαμενος'
Generation 12 | Average Generation Fitness: 0.003217800973878977 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 13 | Average Generation Fitness: 0.0032178009738789777 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σαιων αλεξανδρος ουδις σαιων'
Generation 14 | Average Generation Fitness: 0.0032288296740830284 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
Generation 15 | Average Generation Fitness: 0.0032141247404776263 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'απασαν αλεξανδρος ουδις απασαν'
Generation 16 | Average Generation Fitness: 0.003177362406464124 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συνελθουσης αλεξανδρος ουδις συνελθουσης'
Generation 17 | Average Generation Fitness: 0.003188391106668175 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 18 | Average Generation Fitness: 0.003170009939661424 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
