----------------------------------------------------------------------------------------------------
Execution: 0
Generation 19 | Average Generation Fitness: 0.0031097847610369526 | Best Fitness: 0.008903880535767694 | Population Length: 200| Best DNA: 'λοιπους αλεξανδρος ουδις λοιπους'
Generation 20 | Average Generation Fitness: 0.0030763206489549427 | Best Fitness: 0.004891812707759949 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 21 | Average Generation Fitness: 0.0030123290684052444 | Best Fitness: 0.009946824890120698 | Population Length: 200| Best DNA: 'τατια αλεξανδρος ουδις τατια'
Generation 22 | Average Generation Fitness: 0.002917381954854147 | Best Fitness: 0.00781814438470065 | Population Length: 200| Best DNA: 'κρητηρα αλεξανδρος ουδις κρητηρα'
Generation 23 | Average Generation Fitness: 0.0028152949891694433 | Best Fitness: 0.007872517320287126 | Population Length: 200| Best DNA: 'βασιλευοντος αλεξανδρος ουδις βασιλευοντος'
Generation 24 | Average Generation Fitness: 0.002644729357708374 | Best Fitness: 0.0055518147035127936 | Population Length: 200| Best DNA: 'παντικαπαιων αλεξανδρος ουδις παντικαπαιων'
Generation 25 | Average Generation Fitness: 0.002563634316898047 | Best Fitness: 0.004037740146848083 | Population Length: 200| Best DNA: 'ηροδωρου αλεξανδρος ουδις ηροδωρου'
Generation 26 | Average Generation Fitness: 0.002588037604889259 | Best Fitness: 0.008956079779929257 | Population Length: 200| Best DNA: 'τη αλεξανδρος ουδις τη'
Generation 27 | Average Generation Fitness: 0.0025857734743582918 | Best Fitness: 0.007770974440346763 | Population Length: 200| Best DNA: 'ταναειτων αλεξανδρος ουδις ταναειτων'
Generation 28 | Average Generation Fitness: 0.0025510442493316683 | Best Fitness: 0.005017385753605541 | Population Length: 200| Best DNA: 'ουκ αλεξανδρος ουδις ουκ'
Generation 29 | Average Generation Fitness: 0.0025911097295756914 | Best Fitness: 0.00954964922540301 | Population Length: 200| Best DNA: 'φλαουιου αλεξανδρος ουδις φλαουιου'
Generation 30 | Average Generation Fitness: 0.002542761364332967 | Best Fitness: 0.005745123075992702 | Population Length: 200| Best DNA: 'ωσαυτως αλεξανδρος ουδις ωσαυτως'
Generation 31 | Average Generation Fitness: 0.002567763858402279 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ρεα αλεξανδρος ουδις ρεα'
Generation 32 | Average Generation Fitness: 0.0025501558675768586 | Best Fitness: 0.0058472845382789755 | Population Length: 200| Best DNA: 'αξιαν αλεξανδρος ουδις αξιαν'
Generation 33 | Average Generation Fitness: 0.00255092910548596 | Best Fitness: 0.004959172123192665 | Population Length: 200| Best DNA: 'ζωβει αλεξανδρος ουδις ζωβει'
Generation 34 | Average Generation Fitness: 0.0025628895564479347 | Best Fitness: 0.006746573176356301 | Population Length: 200| Best DNA: 'συναγωγον αλεξανδρος ουδις συναγωγον'
Generation 35 | Average Generation Fitness: 0.002581220075986165 | Best Fitness: 0.008128617237812143 | Population Length: 200| Best DNA: 'τελαμωνα αλεξανδρος ουδις τελαμωνα'
Generation 36 | Average Generation Fitness: 0.002554164971064614 | Best Fitness: 0.006482133712117486 | Population Length: 200| Best DNA: 'ζηνων αλεξανδρος ουδις ζηνων'
Generation 37 | Average Generation Fitness: 0.0025692467563247904 | Best Fitness: 0.010306954794087267 | Population Length: 200| Best DNA: 'φωκαρια αλεξανδρος ουδις φωκαρια'
Generation 38 | Average Generation Fitness: 0.0025335527903575894 | Best Fitness: 0.0039034082809170623 | Population Length: 200| Best DNA: 'δεκα αλεξανδρος ουδις δεκα'
Generation 39 | Average Generation Fitness: 0.0025338912895191963 | Best Fitness: 0.003971108113238468 | Population Length: 200| Best DNA: 'συμμαχησαντας αλεξανδρος ουδις συμμαχησαντας'
Generation 40 | Average Generation Fitness: 0.0025618363056951125 | Best Fitness: 0.006927389929065509 | Population Length: 200| Best DNA: 'αυτωμ αλεξανδρος ουδις αυτωμ'
Generation 41 | Average Generation Fitness: 0.0025783645415408995 | Best Fitness: 0.0070778366813073895 | Population Length: 200| Best DNA: 'στορης αλεξανδρος ουδις στορης'
Generation 42 | Average Generation Fitness: 0.0025797398317021197 | Best Fitness: 0.006721674285282947 | Population Length: 200| Best DNA: 'τυχηι αλεξανδρος ουδις τυχηι'
Generation 43 | Average Generation Fitness: 0.002538811099070983 | Best Fitness: 0.003971108113238468 | Population Length: 200| Best DNA: 'δημοκρατην αλεξανδρος ουδις δημοκρατην'
Generation 44 | Average Generation Fitness: 0.0025399196464368956 | Best Fitness: 0.005176779496778374 | Population Length: 200| Best DNA: 'δ αλεξανδρος ουδις δ'
Generation 45 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρασχεσθαι αλεξανδρος ουδις παρασχεσθαι'
Generation 46 | Average Generation Fitness: 0.0026285361989104843 | Best Fitness: 0.011388245025235414 | Population Length: 200| Best DNA: 'ατου αλεξανδρος ουδις ατου'
