----------------------------------------------------------------------------------------------------
Execution: 0
Generation 2 | Average Generation Fitness: 0.003651716510697136 | Best Fitness: 0.004695776054546578 | Population Length: 20| Best DNA: 'υπερβερεταιου αλεξανδρος ουδις υπερβερεταιου'
Generation 3 | Average Generation Fitness: 0.0032239673065888076 | Best Fitness: 0.004382982145135378 | Population Length: 20| Best DNA: 'δημοπολις αλεξανδρος ουδις δημοπολις'
Generation 4 | Average Generation Fitness: 0.003034675134034561 | Best Fitness: 0.00415977230565619 | Population Length: 20| Best DNA: 'οφθαλμων αλεξανδρος ουδις οφθαλμων'
Generation 5 | Average Generation Fitness: 0.002747243098506156 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 6 | Average Generation Fitness: 0.0026737184304791513 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οφθαλμων αλεξανδρος ουδις οφθαλμων'
Generation 7 | Average Generation Fitness: 0.0028071439824671157 | Best Fitness: 0.008136166855264597 | Population Length: 20| Best DNA: 'οσον αλεξανδρος ουδις οσον'
Generation 8 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 9 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 10 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 11 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 12 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 13 | Average Generation Fitness: 0.0026158238794774307 | Best Fitness: 0.004309764795470904 | Population Length: 20| Best DNA: 'αγορασαντας αλεξανδρος ουδις αγορασαντας'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 21 | Average Generation Fitness: 0.0027921310911991756 | Best Fitness: 0.007835909029905806 | Population Length: 20| Best DNA: 'συνιδων αλεξανδρος ουδις συνιδων'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 29 | Average Generation Fitness: 0.0026574103315072975 | Best Fitness: 0.005141493836068237 | Population Length: 20| Best DNA: 'υιω αλεξανδρος ουδις υιω'
Generation 30 | Average Generation Fitness: 0.0026574103315072975 | Best Fitness: 0.005141493836068237 | Population Length: 20| Best DNA: 'υιω αλεξανδρος ουδις υιω'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 34 | Average Generation Fitness: 0.0025966867150136446 | Best Fitness: 0.003927021506195175 | Population Length: 20| Best DNA: 'ορθως αλεξανδρος ουδις ορθως'
Generation 35 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ορθως αλεξανδρος ουδις ορθως'
Generation 36 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 37 | Average Generation Fitness: 0.0026022226470462898 | Best Fitness: 0.004037740146848083 | Population Length: 20| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 39 | Average Generation Fitness: 0.002761873675046443 | Best Fitness: 0.007230760706851137 | Population Length: 20| Best DNA: 'αμα αλεξανδρος ουδις αμα'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 44 | Average Generation Fitness: 0.0028377163150184364 | Best Fitness: 0.008747613506291003 | Population Length: 20| Best DNA: 'πουρθαιου αλεξανδρος ουδις πουρθαιου'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 48 | Average Generation Fitness: 0.0027951289616214422 | Best Fitness: 0.007895866438351128 | Population Length: 20| Best DNA: 'διι αλεξανδρος ουδις διι'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.008747613506291003
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 3
Generation 01 | Average Generation Fitness: 0.005786366046935405 | Best Fitness: 0.013499889521665604 | Population Length: 20| Best DNA: 'το αλεξανδρος ουδις το'
Generation 02 | Average Generation Fitness: 0.005400542827645617 | Best Fitness: 0.011876772034405368 | Population Length: 20| Best DNA: 'το αλεξανδρος ουδις το'
Generation 03 | Average Generation Fitness: 0.004555740183206555 | Best Fitness: 0.006907019658325958 | Population Length: 20| Best DNA: 'φαρνοξαρθος αλεξανδρος ουδις φαρνοξαρθος'
Generation 04 | Average Generation Fitness: 0.003991056385708387 | Best Fitness: 0.005486991807475553 | Population Length: 20| Best DNA: 'μετ αλεξανδρος ουδις μετ'
Generation 05 | Average Generation Fitness: 0.003656678630481963 | Best Fitness: 0.004439142786699832 | Population Length: 20| Best DNA: 'παν αλεξανδρος ουδις παν'
