----------------------------------------------------------------------------------------------------
Execution: 0
Generation 50 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'μερη αλεξανδρος ουδις μερη'
------------------------------------------------
Total Generations: 50
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.9
Average Fitness: 0.0025266690944251297  ---  Best Overall Fitness: 0.011972959954278736
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 01 | Average Generation Fitness: 0.004512430718516408, | Best Fitness: 0.012148274135618952 | Population Length: 200| Best DNA: 'επεσκευασε αλεξανδρος ουδις επεσκευασε'
Generation 02 | Average Generation Fitness: 0.004114462856236894, | Best Fitness: 0.031421545937086154 | Population Length: 200| Best DNA: 'και αλεξανδρος ουδις και'
Generation 03 | Average Generation Fitness: 0.0035844383168874643, | Best Fitness: 0.011218971195374187 | Population Length: 200| Best DNA: 'βοσπορου αλεξανδρος ουδις βοσπορου'
Generation 04 | Average Generation Fitness: 0.0034687050054607736, | Best Fitness: 0.030551237126260018 | Population Length: 200| Best DNA: 'χηματα αλεξανδρος ουδις χηματα'
Generation 05 | Average Generation Fitness: 0.003265339216078163, | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'σικλεια αλεξανδρος ουδις σικλεια'
Generation 06 | Average Generation Fitness: 0.003271811443782258, | Best Fitness: 0.005615333284754845 | Population Length: 200| Best DNA: 'ισχυρας αλεξανδρος ουδις ισχυρας'
Generation 07 | Average Generation Fitness: 0.003235572328355406, | Best Fitness: 0.004563283621233009 | Population Length: 200| Best DNA: 'αλλο αλεξανδρος ουδις αλλο'
Generation 08 | Average Generation Fitness: 0.0032431839029445782, | Best Fitness: 0.003927021506195175 | Population Length: 200| Best DNA: 'ζηνων αλεξανδρος ουδις ζηνων'
Generation 09 | Average Generation Fitness: 0.0033266084340154737, | Best Fitness: 0.010399196896956533 | Population Length: 200| Best DNA: 'αφροδιτηι αλεξανδρος ουδις αφροδιτηι'
Generation 10 | Average Generation Fitness: 0.0032409856242078612, | Best Fitness: 0.007981144757245397 | Population Length: 200| Best DNA: 'παρελυσε αλεξανδρος ουδις παρελυσε'
Generation 11 | Average Generation Fitness: 0.0032266190161183705, | Best Fitness: 0.005811747510515246 | Population Length: 200| Best DNA: 'αγεπολις αλεξανδρος ουδις αγεπολις'
Generation 12 | Average Generation Fitness: 0.0031867075738567312, | Best Fitness: 0.00740683024279654 | Population Length: 200| Best DNA: 'θυγατεραν αλεξανδρος ουδις θυγατεραν'
Generation 13 | Average Generation Fitness: 0.0031934532559610767, | Best Fitness: 0.0061238374645611535 | Population Length: 200| Best DNA: 'μεδιμνους αλεξανδρος ουδις μεδιμνους'
Generation 14 | Average Generation Fitness: 0.003108944894132924, | Best Fitness: 0.006608094546377615 | Population Length: 200| Best DNA: 'προεθηκε αλεξανδρος ουδις προεθηκε'
Generation 15 | Average Generation Fitness: 0.0030349536063181085, | Best Fitness: 0.004925269636563906 | Population Length: 200| Best DNA: 'κονωνος αλεξανδρος ουδις κονωνος'
