----------------------------------------------------------------------------------------------------
Execution: 0
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 35 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 37 | Average Generation Fitness: 0.002689001466892328 | Best Fitness: 0.005773316543768851 | Population Length: 20| Best DNA: 'περσεφονηι αλεξανδρος ουδις περσεφονηι'
Generation 38 | Average Generation Fitness: 0.002574414030888316 | Best Fitness: 0.003481567823688605 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 40 | Average Generation Fitness: 0.0026022226470462898 | Best Fitness: 0.004037740146848083 | Population Length: 20| Best DNA: 'ευθυς αλεξανδρος ουδις ευθυς'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 44 | Average Generation Fitness: 0.0025707531634050922 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'ταυτην αλεξανδρος ουδις ταυτην'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 48 | Average Generation Fitness: 0.0027618736750464425 | Best Fitness: 0.007230760706851137 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 50 | Average Generation Fitness: 0.002646808773753883 | Best Fitness: 0.004929462680999948 | Population Length: 20| Best DNA: 'μηνιου αλεξανδρος ουδις μηνιου'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.9
Average Fitness: 0.002646808773753883  ---  Best Overall Fitness: 0.00837488099749275
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 3
Generation 1 | Average Generation Fitness: 0.0037156227440067703 | Best Fitness: 0.007917588729609218 | Population Length: 20| Best DNA: 'εργωνας αλεξανδρος ουδις εργωνας'
Generation 2 | Average Generation Fitness: 0.0032811468238233958 | Best Fitness: 0.0039053420424708 | Population Length: 20| Best DNA: 'ς αλεξανδρος ουδις ς'
Generation 3 | Average Generation Fitness: 0.0032928280781815956 | Best Fitness: 0.003883235028048705 | Population Length: 20| Best DNA: 'αιρεθεις αλεξανδρος ουδις αιρεθεις'
